name,project_id
Acosta_ServiceDesk,Acosta_ServiceDesk
Adtalem,Adtalem
Affinia,Affinia
Alcoa_Bucharest,Alcoa Europe
Alcoa_Canada,Alcoa Europe
Alcoa_Scandinavia,Alcoa Europe
Arconic,Alcoa Europe
Alcoa,Alcoa NOA
Alcoa_HR,Alcoa NOA
Arconic_NOA,Alcoa NOA
AlvarezMarsal,AlvarezMarsal
Amcor,Amcor
Amcor_EMEA,Amcor
Arctic_Glacier,Arctic_Glacier
MAUD_Manila,AVID
MAUD_Romania,AVID
Pinnacle,AVID
AVID_PRO_Bucharest,AVID PRO
AVID_PRO_Manila,AVID PRO
BCG_Europe,BCG Europe
BCGA,BCGA
BioRad,Bio-Rad Global
Brown_Forman,Brown-Forman
Cambridge_Associates,Cambridge_Associates
CEC,Career Education Corporation
CCH_ServiceDesk,CCH_ServiceDesk
CEVA_BPO,CEVA_BPO
Ceva_Global_Service_Desk,Ceva_Global_Service_Desk
Clariant,Clariant Service Desk
CLS_ServiceDesk,CLS ServiceDesk
CNH,CNH
CNHI_EMEA,CNHI_EMEA
CNHI_NAFTA,CNHI_NAFTA
Covance,Covance
Dana,Dana
DeVry,DeVry
Duke,Duke
Dunkin_Brands_Unified_Service_Desk,Dunkin Brands Unified Service Desk
Embraer,Embraer
Enel_Green_Power_NA,Enel Green Power
eNett,eNett
Epsilon,Epsilon
Essilor,Essilor
EuropCar,EuropCar
Evoqua_BPO,Evoqua_BPO
Evoqua,EVOQUA_ServiceDesk
Ferro,Ferro
Firmenich,Firmenich
Flexera_Software,Flexera
Flight_Safety,Flight_Safety
Ford,Ford
Goodman_Service_Desk,Goodman Service Desk
GSK_EMEA,GSK
GSK_LATAM,GSK
GSK_Manila,GSK
GSK_Morocco,GSK
GSK_Vaccines,GSK
Hanon,Hanon
Heinz,Heinz
Heinz_Bucharest,Heinz
Heinz_China,Heinz
Heinz_Manila,Heinz
Heinz_SaoPaolo,Heinz
Kraft_Heinz,Heinz
Honda,Honda
Huron_Consulting_Group,Huron Consulting Group
Hydro,Hydro
Infineum,Infineum
AbbVie_EOL,ITSS
Braskem,ITSS
Chrysler,ITSS
EURID,ITSS
GAVI,ITSS
IBO,ITSS
IBX,ITSS
Invengo,ITSS
Koneo_Express_Support,ITSS
MSC,ITSS
Outokumpu_Service_Desk,ITSS
Puratos,ITSS
SDC,ITSS
SG_Finans,ITSS
SGS,ITSS
Solvay,ITSS
SQM,ITSS
Stryker,ITSS
Tagsys_RFID,ITSS
Terumo,ITSS
TTSD,ITSS
Jaguar_Land_Rover,Jaguar Land Rover
JDSD_China,John Deere
JDSD_Davenport,John Deere
JDSD_India,John Deere
JDSD_Mexico,John Deere
JDSD_NAM,John Deere
JDSD_Shanghai,John Deere
John_Deere,John Deere
Joy_Global,Joy Global
KDS,KDS
Kelvion,Kelvion
Klockner_Pentaplast,Klockner_Pentaplast
LabCorp,LabCorp
Lakeside_Software,Lakeside_Software
Levi_Strauss_Europe_ServiceDesk,Levi Strauss Europe
AiCure,Life Science Services
ArisGlobal,Life Science Services
Arrowhead,Life Science Services
Astellas,Life Science Services
Cambridge_Cognition,Life Science Services
Centocor,Life Science Services
Clinpal,Life Science Services
CRF_Health,Life Science Services
Edwards,Life Science Services
Icon,Life Science Services
Janssen_AccountMgt,Life Science Services
Janssen_eMeds,Life Science Services
Lupus_Research_Institute,Life Science Services
Medavante,Life Science Services
Medidata,Life Science Services
Merck,Life Science Services
Merck_Serono,Life Science Services
mProve,Life Science Services
Pfizer,Life Science Services
S_Clinica,Life Science Services
sanofi_aventis,Life Science Services
Sanofi_Pasteur,Life Science Services
Schering_Plough,Life Science Services
Servier,Life Science Services
Sorin,Life Science Services
Suvoda,Life Science Services
Tudor_Reilly_Health,Life Science Services
Yprime,Life Science Services
LINDE,Linde
Linde_DivestCO,Linde_DivestCO
Locomote,Locomote
Louis_Vuitton_North_America,Louis Vuitton North America
Magna,Magna
MasterCard,MasterCard
Miele_and_Cie,Miele_and_Cie
NBA_Service_Desk,NBA_Service_Desk
Nestle_LATAM,Nestle Global SD
Nestle_NAM,Nestle Global SD
Nexans_Service_Desk,Nexans_Service_Desk
NIKE_APAC_NR,Nike_Service_Desk
NIKE_APAC_R,Nike_Service_Desk
NIKE_EMEA_NR,Nike_Service_Desk
NIKE_EMEA_R,Nike_Service_Desk
Nike_Schedulers_NR,Nike_Service_Desk
Nike_Schedulers_R,Nike_Service_Desk
Nike_Service_Desk,Nike_Service_Desk
Novelis,Novelis
Novelis_EMEA,Novelis
Numonyx,Numonyx
Expedia,Orbitz WW SD
Orbitz_WW_SD,Orbitz WW SD
Philip_Morris,Philip_Morris
PROXIMUS,PROXIMUS
Reception_Brussels,Reception Brussels
Reydel,Reydel
Rogers,Rogers
Route_One,Route One
SGWS,SGWS
SNHU,SNHU
Chrysler_HR,SSV-POS
Compressor_Controls_Corporation,SSV-POS
NCAA,SSV-POS
Subway,SSV-POS
TRW_Automotive,SSV-POS
Stryker_ITSD,Stryker ITSD
Sulzer_Service_Desk,Sulzer Service Desk
Swagelok,Swagelok
Tech_On_Demand,Tech On Demand
Tessco,Tessco
Town_Sports_International,Town Sports International
Apollo,Travelport
Galileo_APAC,Travelport
Galileo_Brussels,Travelport
Galileo_Bucharest,Travelport
Galileo_EMEA,Travelport
Galileo_LATAM,Travelport
Galileo_Manila,Travelport
Galileo_Shanghai,Travelport
Worldspan_Brussels,Travelport
Worldspan_Bucharest,Travelport
Worldspan_EMEA,Travelport
Worldspan_LATAM,Travelport
TRW_Global,TRW Global
TTX_Americas,TTX Americas
Valeo,Valeo
Vallourec,Vallourec NA
Vallourec_NA,Vallourec NA
Veridium,Veridium
Visteon,Visteon
Yazaki,Yazaki
ZF_Service_Desk,ZF_Service_Desk
